time,dom_cluster
2011-06-01 00:00:00,1
2011-06-03 00:00:00,1
2011-06-29 12:00:00,1
2011-07-02 12:00:00,0
2011-07-07 12:00:00,1
2011-07-13 00:00:00,1
2011-07-23 00:00:00,2
2011-07-30 12:00:00,1
2011-08-13 00:00:00,1
2011-08-16 00:00:00,3
2011-08-21 12:00:00,1
2011-08-27 12:00:00,0
2011-09-01 12:00:00,1
2011-09-08 12:00:00,1
2011-09-11 00:00:00,1
2011-09-13 12:00:00,2
2011-10-29 12:00:00,4
2011-11-11 12:00:00,1
2011-11-13 12:00:00,4
2011-12-11 00:00:00,1
2011-12-12 12:00:00,1
2011-12-13 12:00:00,0
2011-12-23 12:00:00,1
2011-12-29 12:00:00,1
2012-01-04 00:00:00,1
2012-01-18 00:00:00,3
2012-01-26 12:00:00,0
2012-01-28 00:00:00,3
2012-02-03 12:00:00,1
2012-02-10 00:00:00,3
2012-02-17 00:00:00,1
2012-02-23 12:00:00,1
2012-03-18 00:00:00,1
2012-03-22 12:00:00,4
2012-03-29 00:00:00,1
2012-04-02 00:00:00,3
2012-04-05 00:00:00,1
2012-04-06 12:00:00,1
2012-04-15 12:00:00,2
2012-04-27 00:00:00,1
2012-05-13 12:00:00,4
2012-05-31 00:00:00,4
