,p-value
rsam_10_5.00-10.00__abs_energy,0.998796192264846
rsam_10_5.00-10.00__absolute_sum_of_changes,0.9810421138203075
"rsam_10_5.00-10.00__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.9810421138203075
"rsam_10_5.00-10.00__agg_autocorrelation__f_agg_""median""__maxlag_40",0.9635208114296071
"rsam_10_5.00-10.00__agg_autocorrelation__f_agg_""var""__maxlag_40",0.9541086478147934
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""intercept""",0.9352376040543846
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""rvalue""",0.9174291179978508
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""slope""",0.9019303660796755
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""stderr""",0.9019303660796755
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""intercept""",0.8902106605994482
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""rvalue""",0.8605882603948832
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""slope""",0.8599903346500328
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept""",0.8463586526145631
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",0.8365806177739659
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""slope""",0.8305260492018209
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""stderr""",0.8111215720567655
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""intercept""",0.8107487923784756
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""",0.8094892442945701
"rsam_10_5.00-10.00__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""",0.7851241122257004
